,公司代號,公司名稱,實收資本額
139,1592,英瑞國際股份有限公司,1109782500
140,1597,直得科技股份有限公司,811875490
141,1598,岱宇國際股份有限公司,1334442540
142,1603,中華電線電纜股份有限公司,1916880000
143,1604,聲寶股份有限公司,3872000000
144,1605,華新麗華股份有限公司,34313329480
145,1608,華榮電線電纜股份有限公司,6327735060
146,1609,大亞電線電纜股份有限公司,5950680220
147,1611,中國電器股份有限公司,3227357420
148,1612,宏泰電工股份有限公司,3160800630
149,1614,台灣三洋電機股份有限公司,2691134060
150,1615,大山電線電纜股份有限公司,1230479620
151,1616,億泰電線電纜股份有限公司,1941485150
152,1617,榮星電線工業股份有限公司,1442332350
153,1618,合機電線電纜股份有限公司,2408646840
154,1626,艾美特(開曼)國際有限公司,1407654060
155,1701,中國化學製藥股份有限公司,2980810800
156,1702,南僑投資控股股份有限公司,2941329620
157,1707,葡萄王生技股份有限公司,1481373730
158,1708,東鹼股份有限公司,2284418810
159,1709,和益化學工業股份有限公司,4770162720
160,1710,東聯化學股份有限公司,8857030290
161,1711,臺灣永光化學工業股份有限公司,5477522260
162,1712,興農股份有限公司,4204925850
163,1713,國泰化工廠股份有限公司,1509517000
164,1714,和桐化學股份有限公司,10168248080
165,1717,長興材料工業股份有限公司,12402794550
166,1718,中國人造纖維股份有限公司,16213672170
167,1720,生達化學製藥股份有限公司,1786960890
168,1721,三晃股份有限公司,1889952420
169,1722,台灣肥料股份有限公司,9800000000
170,1723,中鋼碳素化學股份有限公司,2369044800
171,1724,台硝股份有限公司,1278139000
172,1725,元禎企業股份有限公司,1818299780
173,1726,永記造漆工業股份有限公司,1620000000
174,1727,臺灣中華化學工業股份有限公司,1082500000
175,1730,花仙子企業股份有限公司,632338510
176,1731,美吾華股份有限公司,1329152440
177,1732,毛寶股份有限公司,424439570
178,1733,五鼎生物技術股份有限公司,999501920
179,1734,杏輝藥品工業股份有限公司,1677220220
180,1735,日勝化工股份有限公司,993880000
181,1736,喬山健康科技股份有限公司,3036166170
182,1737,臺鹽實業股份有限公司,2000000000
183,1760,寶齡富錦生技股份有限公司,767390130
184,1762,中化合成生技股份有限公司,775600000
185,1773,勝一化工股份有限公司,1800000000
186,1776,展宇科技材料股份有限公司,703469990
187,1783,和康生物科技股份有限公司,694650000
188,1786,科妍生物科技股份有限公司,610050000
189,1789,台灣神隆股份有限公司,7907392220
190,1795,美時化學製藥股份有限公司,2628713120
191,1802,台灣玻璃工業股份有限公司,29080608000
192,1805,寶徠建設股份有限公司,1002654000
193,1806,冠軍建材股份有限公司,4337820780
194,1808,潤隆建設股份有限公司,3699966370
195,1809,中國製釉股份有限公司,1670419370
196,1810,和成欣業股份有限公司,3698536100
197,1817,凱撒衛浴股份有限公司,726000000
198,1903,士林紙業股份有限公司,2600391210
199,1904,正隆股份有限公司,11082745220
200,1905,中華紙漿股份有限公司,11028353160
201,1906,寶隆國際股份有限公司,1510000000
202,1907,永豐餘投資控股股份有限公司,16603714950
203,1909,榮成紙業股份有限公司,12776857270
204,2002,中國鋼鐵股份有限公司,157731289960
205,2006,東和鋼鐵企業股份有限公司,10898713700
206,2007,燁興企業股份有限公司,5306516130
207,2008,高興昌鋼鐵股份有限公司,2008522930
208,2009,第一伸銅科技股份有限公司,3596221650
209,2010,春源鋼鐵工業股份有限公司,6476553900
210,2012,春雨工廠股份有限公司,2877740000
211,2013,中國鋼鐵結構股份有限公司,2000000000
212,2014,中鴻鋼鐵股份有限公司,14355444460
213,2015,豐興鋼鐵股份有限公司,5815994240
214,2017,官田鋼鐵股份有限公司,3418674620
215,2020,美亞鋼管廠股份有限公司,2225261000
216,2022,聚亨企業股份有限公司,4797519760
217,2023,燁輝企業股份有限公司,18905695180
218,2024,志聯工業股份有限公司,975000000
