,ma30,1/6,1/5,1/4
591,652,,,
592,3915,,,
593,14331,,,
594,13145,,,
595,14718,,,
596,58530,,,
597,24739,,,
598,40002,,,
599,35598,,,
600,28992,,,
601,17073,,,
602,26360,,,
603,23282,,,
604,17539,,,
605,34064,,,
606,20787,,,
607,39721,,,
608,22413,,,
609,16558,,,
610,11053,,,
611,11626,,,
612,12261,,,
613,17098,,,
614,17946,,,
615,28071,,,
616,12835,,,
617,10899,,,
618,8864,,,
619,6925,,,
620,2779,,,
621,1342,,,
622,1742,,,
623,895,,,
624,1559,,,
625,3764,,,
626,3810,,,
627,3076,,,
628,11598,,,
629,9985,,,
630,13324,,,
631,12129,,,
632,2911,,,
636,237,237,,
637,2568,2568,,
638,8997,8997,,
639,10293,10293,,
640,10552,10552,,
641,5935,5935,,
642,2549,2549,,
643,1165,1165,,
644,10451,10409,,42.0
645,7154,1631,,5523.0
646,2586,15,537.0,2034.0
647,4863,,1377.0,3486.0
648,10568,,1809.0,8759.0
649,12485,,6025.0,6460.0
650,26293,,13738.0,12555.0
651,13724,,6872.0,6852.0
652,9955,,3151.0,6804.0
653,10676,,3570.0,7106.0
654,12128,,2974.0,9154.0
655,7097,,2691.0,4406.0
656,11497,,1711.0,9786.0
657,1983,,1983.0,
658,1195,,1195.0,
659,364,,364.0,
660,678,,678.0,
661,755,,755.0,
662,1501,,1501.0,
663,3429,,3429.0,
664,2229,,2229.0,
665,1304,,1304.0,
666,1462,,1462.0,
667,1227,,1227.0,
668,1991,,1991.0,
669,8302,,8302.0,
