,ma30,1/6,1/5,1/4
405.5,33,,,
406.0,367,,,
406.5,303,,,
407.0,266,,,
407.5,135,,,
408.0,360,,,
408.5,362,,,
409.0,447,,,
409.5,449,,,
410.0,468,,,
410.5,341,,,
411.0,440,,,
411.5,366,,,
412.0,13086,,,
412.5,585,,,
413.0,389,,,
413.5,393,,,
414.0,536,,,
414.5,268,,,
415.0,229,,,
415.5,211,,,
416.0,383,,,
416.5,478,,,
417.0,611,,,
417.5,690,,,
418.0,626,,,
418.5,552,,,
419.0,454,,,
419.5,330,,,
420.0,249,,,
420.5,298,,,
421.0,262,,,
421.5,204,,,
422.0,275,,,
422.5,260,,,
423.0,382,,,
423.5,318,,,
424.0,444,,,
424.5,253,,,
425.0,868,,,
425.5,576,,,
426.0,672,,,
426.5,514,,,
427.0,624,,,
427.5,274,,,
428.0,665,,,
428.5,209,,,
429.0,208,,,
429.5,50,,,
430.0,209,,,
430.5,100,,,
431.0,183,,,
431.5,192,,,
432.0,127,,,
432.5,58,,,
433.0,80,,,
433.5,81,,,
434.0,84,,,
434.5,101,,,
435.0,336,,,
435.5,135,,,
436.0,75,,,
436.5,21,,,
437.0,68,,,
437.5,63,,,
438.0,106,,,
438.5,64,,,
439.0,157,,,
439.5,122,,,
440.0,272,,,
440.5,59,,,
441.0,43,,,
441.5,13,,,
442.0,72,,,
442.5,62,,,
443.0,29,,,
443.5,65,,,
444.0,41,,,
444.5,21,,,
445.0,99,,,
445.5,83,,,
446.0,111,,,
446.5,73,,,
447.0,103,,,
447.5,68,,,
448.0,81,,,
448.5,23,,,
449.0,19,,,
449.5,27,,,
450.0,94,,,
450.5,13,,,
451.0,110,,,
451.5,108,,,
452.0,243,,,
452.5,174,,,
453.0,223,,,
453.5,229,,,
454.0,280,,,
454.5,183,,,
455.0,404,,,
455.5,86,,,
456.0,153,,,
456.5,87,,,
457.0,211,,,
457.5,125,,,
458.0,476,,,
458.5,8448,,,
459.0,333,,,
459.5,243,,,
460.0,385,,,
460.5,356,,,
461.0,570,,,
461.5,869,,,
462.0,1401,,,
462.5,570,,,
463.0,649,,,
463.5,489,,,
464.0,1079,,,
464.5,904,,,
465.0,1478,,,
465.5,932,,,
466.0,1716,2,,
466.5,861,43,,
467.0,1468,481,,
467.5,1276,344,,
468.0,2092,406,,
468.5,1678,619,,
469.0,1600,571,,
469.5,902,322,,
470.0,1413,354,,
470.5,661,103,,
471.0,1297,102,,
471.5,652,79,,
472.0,1122,49,,
472.5,1067,33,,
473.0,1268,77,,
473.5,1205,165,,
474.0,1356,24,38.0,
474.5,1459,13,91.0,
475.0,2980,22,290.0,
475.5,1519,17,271.0,
476.0,2463,74,836.0,
476.5,1746,42,302.0,
477.0,2009,84,161.0,
477.5,1776,96,161.0,
478.0,2900,162,268.0,
478.5,1896,109,214.0,
479.0,1880,54,282.0,5.0
479.5,1455,73,334.0,16.0
480.0,3300,87,755.0,206.0
480.5,1586,10,249.0,65.0
481.0,1752,,109.0,82.0
481.5,1059,,48.0,54.0
482.0,1570,,21.0,131.0
482.5,1037,,19.0,112.0
483.0,1725,,36.0,221.0
483.5,1410,,29.0,327.0
484.0,2197,,97.0,675.0
484.5,1638,,69.0,479.0
485.0,2257,,103.0,317.0
485.5,1325,,86.0,253.0
486.0,1894,,90.0,543.0
486.5,1354,,100.0,374.0
487.0,1874,,45.0,403.0
487.5,1531,,30.0,409.0
488.0,1864,,68.0,465.0
488.5,2104,,137.0,793.0
489.0,1552,,72.0,55.0
489.5,1432,,49.0,20.0
490.0,1916,,22.0,34.0
490.5,934,,,15.0
491.0,1155,,,17.0
491.5,1178,,,24.0
492.0,2132,,,29.0
492.5,1490,,,12.0
493.0,2542,,,28.0
493.5,1588,,,39.0
494.0,1469,,,40.0
494.5,1231,,,37.0
495.0,2074,,,69.0
495.5,1453,,,59.0
496.0,1401,,,108.0
496.5,960,,,153.0
497.0,1058,,,48.0
497.5,841,,,12.0
498.0,1053,,,3.0
498.5,634,,,
499.0,1192,,,
499.5,864,,,
500.0,1430,,,
501.0,1368,,,
502.0,1433,,,
503.0,1795,,,
504.0,1315,,,
505.0,983,,,
506.0,706,,,
507.0,504,,,
508.0,400,,,
509.0,229,,,
510.0,386,,,
511.0,163,,,
512.0,836,,,
513.0,360,,,
514.0,789,,,
515.0,451,,,
516.0,791,,,
517.0,826,,,
518.0,1015,,,
519.0,565,,,
520.0,1035,,,
521.0,239,,,
522.0,241,,,
523.0,399,,,
524.0,133,,,
